longitude,latitude,age_myr,bathymetry_m
-102.23404255319149,-64.80000000000001,76.59,-4927.0
-100.74468085106383,-64.80000000000001,77.58,-4915.0
-169.25531914893617,-63.31428571428571,3.27,-2747.0
-167.7659574468085,-63.31428571428571,1.64,-2558.0
-166.27659574468086,-63.31428571428571,1.25,-2638.0
-164.7872340425532,-63.31428571428571,2.68,-2680.0
-163.29787234042553,-63.31428571428571,3.16,-2650.0
-161.80851063829786,-63.31428571428571,3.74,-2870.0
-160.31914893617022,-63.31428571428571,5.22,-2849.0
-158.82978723404256,-63.31428571428571,6.27,-2898.0
-157.3404255319149,-63.31428571428571,6.93,-2838.0
-155.85106382978722,-63.31428571428571,2.5549998,-3018.0
-154.36170212765958,-63.31428571428571,3.98,-3200.0
-152.87234042553192,-63.31428571428571,5.82,-3284.0
-151.38297872340425,-63.31428571428571,7.67,-3494.0
-149.89361702127658,-63.31428571428571,9.65,-3464.0
-148.40425531914894,-63.31428571428571,12.27,-3706.0
-146.91489361702128,-63.31428571428571,15.4,-3860.5
-145.4255319148936,-63.31428571428571,18.37,-3836.0
-143.93617021276594,-63.31428571428571,21.23,-3851.0
-142.4468085106383,-63.31428571428571,23.465,-4040.0
-140.95744680851064,-63.31428571428571,24.72,-4258.0
-139.46808510638297,-63.31428571428571,27.17,-4332.0
-137.9787234042553,-63.31428571428571,30.07,-4402.0
-136.48936170212767,-63.31428571428571,33.05,-4493.0
-135.0,-63.31428571428571,36.1,-4727.0
-133.51063829787233,-63.31428571428571,38.94,-4707.0
-132.02127659574467,-63.31428571428571,42.48,-4804.0
-130.53191489361703,-63.31428571428571,47.08,-4892.0
-129.04255319148936,-63.31428571428571,49.41,-4878.0
-127.5531914893617,-63.31428571428571,51.295,-4960.0
-126.06382978723404,-63.31428571428571,52.71,-5006.0
-124.57446808510639,-63.31428571428571,55.61,-5098.0
-123.08510638297872,-63.31428571428571,57.71,-5098.0
-121.59574468085106,-63.31428571428571,59.27,-5055.0
-120.1063829787234,-63.31428571428571,59.65,-5038.0
-118.61702127659575,-63.31428571428571,59.29,-5052.0
-117.12765957446808,-63.31428571428571,54.59,-5075.0
-115.63829787234042,-63.31428571428571,55.63,-5108.0
-114.14893617021276,-63.31428571428571,58.32,-5172.0
-112.65957446808511,-63.31428571428571,60.71,-5175.0
-111.17021276595744,-63.31428571428571,62.87,-5174.0
-109.68085106382978,-63.31428571428571,64.55,-5156.0
-108.19148936170212,-63.31428571428571,66.08,-5119.0
-106.70212765957447,-63.31428571428571,67.43,-5122.0
-105.2127659574468,-63.31428571428571,68.37,-5122.0
-103.72340425531915,-63.31428571428571,67.56,-5093.0
-102.23404255319149,-63.31428571428571,69.88,-5017.0
-100.74468085106383,-63.31428571428571,74.35,-4991.0
-169.25531914893617,-61.82857142857143,7.96,-3204.0
-167.7659574468085,-61.82857142857143,10.27,-3034.0
-166.27659574468086,-61.82857142857143,8.33,-3119.0
-164.7872340425532,-61.82857142857143,5.7,-3043.0
-163.29787234042553,-61.82857142857143,4.82,-3092.0
-161.80851063829786,-61.82857142857143,4.96,-3202.0
-160.31914893617022,-61.82857142857143,9.57,-3170.0
-158.82978723404256,-61.82857142857143,6.92,-2950.0
-157.3404255319149,-61.82857142857143,4.12,-2900.0
-155.85106382978722,-61.82857142857143,2.04,-2839.0
-154.36170212765958,-61.82857142857143,1.04,-2751.0
-152.87234042553192,-61.82857142857143,2.08,-2821.0
-151.38297872340425,-61.82857142857143,4.41,-3022.0
-149.89361702127658,-61.82857142857143,6.61,-3296.0
-148.40425531914894,-61.82857142857143,8.77,-3385.0
-146.91489361702128,-61.82857142857143,10.77,-3514.5
